Anio;NombreCurso;Tipo de capacitación;Nombre corto;Plataforma de dictado;Autorización para el dictado de la capacitación;La inscripción a la capacitación, se realizará a través de:;Ministerio;Área;codMinistero;codArea;codPlataformaDicado;codMedioInscipcion;codTipoCapacitacion
2024;Educar para una convivencia saludable. Una propuesta de intervención para prevenir la violencia;Curso e-learning;C-ECS;Campus Córdoba;Pohl, Héctor Javier - Jefe de Área;Portal Campus Córdoba;Ministerio de Desarrollo Humano;Área de Capacitación, Secretaría de Niñez, Adolescencia y Familia;MDH;ACSNAF;CC;PCC;EL
2024;Educar y Cuidar: Estrategias para la Prevención Escolar del Consumo de Drogas;Curso e-learning;C-ECEP;Campus Córdoba;Santos García Ferreira secretario de prevencion y asistencia de las adicciones y Juan Jose Castellanos director de bienestar educativo;quizas se utilice alguna inscripcion particular con ministerio de educacion;Ministerio de Salud;Secretaria de Prevención y Asistencia de las Adicciones;MS;SPAA;CC;OTRO;EL
2024;El circuito de la información en SIGIPSA: Desde la inscripción hasta el reporte de uso de fondos;Curso e-learning;C-SIGIPSA;Campus Córdoba;Directora Ana Godoy;Formulario google;Ministerio de Salud;Dirección General de Integración Sanitaria;MS;DGIS;CC;FG;EL
2024;Elaboración y presentación efectiva de Proyectos Deportivos;Curso e-learning;C-EPEPD;Campus Córdoba;Agustín Santiago Calleri - Presidente Agencia Córdoba Deportes;Portal Campus Córdoba;Agencia Córdoba Deportes S.E.M.;Subdirección de Capacitación y Desarrollo;ACD;SCD;CC;PCC;EL
2024;Elementos básicos para gestionar tu emprendimiento;Curso e-learning;C-EBGE;Campus Córdoba;Julio Castro;FUP;Ministerio de Desarrollo Social y Promoción del Empleo;Dirección de Capacitación y Formación Profesional;MDSPE;DCFP;CC;FUP;EL
2024;Emprender en la era de la Inteligencia Artificial;Curso e-learning;EXTERNA;https://www.soysilvertech.org/;Victor Di Rienzo;https://www.soysilvertech.org/;Agencia Conectividad Córdoba;Habilidades Digitales;ACC;HD;OTRO;OTRO;EL
2024;Entrevista Motivacional: Pautas claves para el abordaje de problemas asociados al consumo de sustancias;Curso e-learning;C-EM;Campus Córdoba;Darío Gigena Parker;Portal Campus Córdoba;Ministerio de Salud;Secretaria de Prevención y Asistencia de las Adicciones;MS;SPAA;CC;PCC;EL
2024;Entrevista y CV;Curso e-learning;EXTERNA;Campus Córdoba;Victor Di Rienzo;Portal Campus Córdoba;Agencia Conectividad Córdoba;Habilidades Digitales;ACC;HD;CC;PCC;EL
2024;Epidemiología;Curso e-learning;C-EPI;Campus Córdoba;Gabriel Strumia (director);Portal Campus Córdoba;Ministerio de Salud;Dirección General de Sistemas de Gestión Hospitalaria;MS;DGSGH;CC;PCC;EL
2024;E-Sports: Diversión sin adicción;Curso e-learning;C-ESDSA;Campus Córdoba;Agustín Santiago Calleri - Presidente Agencia Córdoba Deportes;Portal Campus Córdoba;Agencia Córdoba Deportes S.E.M.;Subdirección de Capacitación y Desarrollo;ACD;SCD;CC;PCC;EL
2024;Esterilización;Curso e-learning;C-EPI;Campus Córdoba;Gabriel Alberto Strumia;Portal Campus Córdoba;Ministerio de Salud;Dirección General de Sistemas de Gestión Hospitalaria;MS;DGSGH;CC;PCC;EL
2024;Estrategias para trabajar el autoempleo con adolescentes;Curso e-learning;C-EPTE;Campus Córdoba;Pohl, Héctor Javier - Jefe de Área;Portal Campus Córdoba;Ministerio de Desarrollo Humano;Área de Capacitación, Secretaría de Niñez, Adolescencia y Familia;MDH;ACSNAF;CC;PCC;EL
2024;Facturación;Curso e-learning;C-FAC;Campus Córdoba;Gabriel Alberto Strumia;Portal Campus Córdoba;Ministerio de Salud;Dirección General de Sistemas de Gestión Hospitalaria;MS;DGSGH;CC;PCC;EL
2024;Farmacia;Curso e-learning;C-FAR;Campus Córdoba;Gabriel Alberto Strumia;Portal Campus Córdoba;Ministerio de Salud;Dirección General de Sistemas de Gestión Hospitalaria;MS;DGSGH;CC;PCC;EL
2024;Finanzas Personales Saludables;Curso e-learning;EXTERNA;Campus Córdoba;Victor Di Rienzo;Portal Campus Córdoba;Agencia Conectividad Córdoba;Habilidades Digitales;ACC;HD;CC;PCC;EL
2024;Fotografía para emprendimietos de la economía social;Curso e-learning;C-FEES;Campus Córdoba;Rosalía Caceres - Secretaria de economía social;FUP;Ministerio de Desarrollo Social y Promoción del Empleo;Secretaría de Economía Social;MDSPE;SES;CC;FUP;EL
2024;GESTIÓN DE EMPRENDIMIENTOS DE LA ECONOMÍA FAMILIAR;Curso e-learning;C-GEEF;Campus Córdoba;Rosalía Cáseres;FUP;Ministerio de Desarrollo Social y Promoción del Empleo;Secretaría de Economía Social;MDSPE;SES;CC;FUP;EL
2024;Gestión de Entidades Deportivas;Curso e-learning;C-GED;Campus Córdoba;Agustín Santiago Calleri - Presidente Agencia Córdoba Deportes;Portal Campus Córdoba;Agencia Córdoba Deportes S.E.M.;Subdirección de Capacitación y Desarrollo;ACD;SCD;CC;PCC;EL
